id,text,aspect_category,sentiment_prob
120,"- ""kalo sudah kuliah mah kampus merdeka kalo adekku mah b haha",Program,"[0.1, 0.8, 0.1]"
181,"- ""kerja mendukung program merdeka belajar kampus merdeka mbkm membuka peluang inovasi pendidikan cerah",Program,"[0.95, 0.05, 0.0]"
286,"- ""(tertawa) ptk naro logo kampus merdeka ignya tapi mahasiswanya tidak merdeka",Program,"[0.0, 0.1, 0.9]"
76,"- ""halah kampus merdeka apanya",Program,"[0.0, 0.1, 0.9]"
176,"- ""kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka",Magang,"[0.05, 0.15, 0.8]"
34,"- ""benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma",Program,"[0.9, 0.1, 0.0]"
110,"- ""kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang",Nadiem,"[0.0, 0.2, 0.8]"
270,"- ""tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar",Program,"[0.95, 0.05, 0.0]"
NA,"- ""apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes",Program,"[0.0, 0.05, 0.95]"
239,"- ""program baik kampus merdeka kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa",Program,"[0.95, 0.05, 0.0]"
14,"- ""suka pas kampus merdeka sistemnya agak hancur melihat msib pengunduran schedule miss",Program,"[0.0, 0.1, 0.9]"
292,"- ""bagusnya kampus merdeka mahasiswa",Program,"[0.95, 0.05, 0.0]"
212,"- ""namanya proses anjir lagian proramnya bagus kayak kampus merdeka",Program,"[0.9, 0.1, 0.0]"
30,"- ""program bagus kampus merdeka",Program,"[0.95, 0.05, 0.0]"
264,"- ""tapi pendidikan kurikulum merdeka bagus banget apalagi programprogramnya kesempatan berkembang diluar kampus",Program,"[0.95, 0.05, 0.0]"
177,"- ""kayanya kebijakan bagusnya kuliah deh kayak kampus merdeka susah banget cari magang memasukkan proposal tapi sudah terintegrasi sistem kuliah",Program,"[0.6, 0.2, 0.2]"
174,"- ""sih bagian kampus merdeka termasuk oke belum merasai 2021 covid dan sudah dalam perjalanan sidang (tertawa)",Program,"[0.8, 0.2, 0.0]"
223,"- ""penasaran sudah bukan mahasiswa tidak kebagian icip si kampus merdeka",Program,"[0.7, 0.3, 0.0]"
218,"- ""one of gue gasuka program kampus merdeka program wirausaha merdeka kayak",Program,"[0.0, 0.1, 0.9]"
162,"- ""kampus merdeka untung untung mahasiswanya oke2 dan senang pandemi muncul tuh program mayanlah kedapetan enak",Program,"[0.9, 0.1, 0.0]"
41,"- ""mahasiswa bela nadiem program kampus merdeka bagus termasuk teman gue kayak asu makan anjinggg lihat kacaunya bangsatttt bangsat",Nadiem,"[0.0, 0.05, 0.95]"
216,"- ""mah kampus merdeka gue sih stop gap solution akar masalahnya memang pendidikan diploma dan sarjana indonesia tidak cocok kebutuhan industrinya dan tidak diurus",Program,"[0.0, 0.1, 0.9]"
16,"- ""tidak ah ngejelekin menteri pendidikan dapat benefit kampus mengajar magang merdeka dan ppg prajabatan dibiayain negara",Nadiem,"[0.9, 0.1, 0.0]"
195,"- ""lumayan nyisir anggaran basically stafsusnya nadiem tim tech enabler oke bikin platform kampus merdeka tapi rombak struktur internal dan speechless output platform",Anggaran,"[0.7, 0.3, 0.0]"
86,"- ""ibu gua suka cerita kampus merdeka seringkali ajang pemutihan nilai mahasiswa",Program,"[0.0, 0.05, 0.95]"
75,"- ""gue hater kurikulum kampus merdeka",Program,"[0.0, 0.0, 1.0]"
294,"- ""dipertahankan kampus merdeka iisma tapi kuota ditekan sempurnakan progran iisma dalam negeri sangat bermanfaat kawan kawan kampus secondthird tierdaerah nun disana merasakan atmosfer kampus top 10 indonesia dan msib",Program,"[0.9, 0.1, 0.0]"
107,"- ""jujur terobosannya kampus merdeka versi l kuliah tapi ajarnya kapitalis dan ketidakselarasan kementrian menyebabkan perusahaan bisa seenak udel pegawai upah murah beban kerja selangit alias anak magang",Program,"[0.1, 0.1, 0.8]"
8,"- ""program kampus merdeka bagus banget mahasiswa 1 kampus ruko bisa pmm merasai kuliah kampus benaran 2 program magang merdeka ngasah skill tidak diajari dalem kelas",Program,"[0.95, 0.05, 0.0]"
184,"- ""kalo program dikti nya sok far oke oke sih gue sangat mengapresiasi kampus merdeka",Program,"[0.95, 0.05, 0.0]"
