id,text,aspect_category,sentiment_prob
52,akun kloning seolah2 pendukung menyerang paslon opini dan argumen pmbenaranjangan terkecoh,Pendukung/Pemilih,"[0.1, 0.3, 0.6]"
127,kasihan kasihan peluru 1milyar rw tidak mempan menangin pilkada,Kampanye,"[0.2, 0.3, 0.5]"
149,awas ye kalo dukungan suara pendukung,Pendukung/Pemilih,"[0.3, 0.4, 0.3]"
37,aneh deh lebay sangkut pautkan kandidat calgub lebay dukung,Kampanye,"[0.2, 0.3, 0.5]"
238,terima kasih teruntuk pendukung kalianlah pembeda,Pendukung/Pemilih,"[0.7, 0.2, 0.1]"
250,terima kasih keistiqomahan relawan tlh mengantarkan signifikan,Pendukung/Pemilih,"[0.7, 0.2, 0.1]"
32,19april2017 suaraku paslon 3,Pendukung/Pemilih,"[0.5, 0.3, 0.2]"
260,pastilah kan tidak suka ahok pas sudah kalah otomatis dukungannya lari mas aniessandi,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
86,gara-gara ektp dikorupsi fotoku mirip pelan tapi pasti mirip stickmoticons,Politik Uang,"[0.1, 0.2, 0.7]"
176,pakdhe karwo pilgub jatim deh karwo isyaratkan agus tidak maju pilgub jatim,Tokoh dan Partai,"[0.4, 0.3, 0.3]"
177,paslon salah langkah sandi bukan tidak mungkin bumerang gagal dapat suara,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
149,awas ye kalo dukungan suara pendukung,Pendukung/Pemilih,"[0.3, 0.4, 0.3]"
105,pelaku pengirim sms gelap antasari azhar,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
41,antasari diancam harry tanoe,Tokoh dan Partai,"[0.1, 0.2, 0.7]"
11,ahoker masih bully,Pendukung/Pemilih,"[0.1, 0.2, 0.7]"
224,setuju banget tidak bersyukur kemrin tidak banjir sibuk pembelaan,Pendukung/Pemilih,"[0.6, 0.3, 0.1]"
99,helloooo suara rakyat mengerti suara rakyat bukan suaranya dek ngopi gih,Pendukung/Pemilih,"[0.5, 0.3, 0.2]"
65,cari teman padahal sudah gubernur,Tokoh dan Partai,"[0.4, 0.4, 0.2]"
5,agus tersingkir ahok anies rebutan suara ahy kepentingan kelompok,Tokoh dan Partai,"[0.4, 0.2, 0.4]"
165,meskipun kehilangan kesempatan menduduki gubernur dki 20172022,Tokoh dan Partai,"[0.3, 0.4, 0.3]"
53,konstituen risih mulutnya ahok tapi pilih anies gerombolan khilafah dibelakangnya memilih ahok,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
60,blunder hina2 tapi butuh 17 suara dan harus ngemis hina2 jleb,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
157,masih mencaci maki dan pepo memo nya harus mengemis suara 17 orang-orang hina,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
88,golput pemilih nampaknya,Pendukung/Pemilih,"[0.3, 0.4, 0.3]"
121,merhatiin relawan rehat ganjal mungkin harus islah relawan,Pendukung/Pemilih,"[0.4, 0.4, 0.2]"
175,pakar surabaya surat anas urbaningrum jeruji besi sindiran,Tokoh dan Partai,"[0.3, 0.4, 0.3]"
116,jangan sekeluarga pemilih program dp 0 nyata sekeluarga memilih,Pendukung/Pemilih,"[0.7, 0.2, 0.1]"
234,sylvi aniessandiaga basukidjarot debat pilkada dki 2017 jangan jual mimpi gubernur,Tokoh dan Partai,"[0.3, 0.4, 0.3]"
7,ah bukannya bang aji disitu bikin kalah,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
168,mungkin rendah hati bisa pendukung paslon 1 masih hati melihat foto,Pendukung/Pemilih,"[0.6, 0.3, 0.1]"
180,pendukung sulit melupakan bully2,Pendukung/Pemilih,"[0.1, 0.3, 0.6]"
38,anggap bisa sebulan dijual pindah tangan orang-orang elit partai gerindra dan pks,Tokoh dan Partai,"[0.3, 0.4, 0.3]"
42,antasari konferensi pers surabaya surabaya konferensi pers surabaya rengekan anak kecil,Tokoh dan Partai,"[0.3, 0.4, 0.3]"
246,tim tidak tidur,Kampanye,"[0.5, 0.4, 0.1]"
67,coba beretika dukungan konstituen setia jangan menipu membuat meme dan berita palsu rachland nashidik,Pendukung/Pemilih,"[0.1, 0.3, 0.6]"
129,kasihan tidak menyadari musuh dalam sarung selfienya motivasi terselubung hmmm,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
35,amieeennnnn dan tidak lupa janji2 manis kampanye sang mayor sejati,Kampanye,"[0.6, 0.3, 0.1]"
173,pilkada dki ahy dan surabaya target hoax dan fitnah akunakun pendukung ahok,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
30,akibat pernyataan antasari suara ahy melorot pilkada dki,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
84,enam kampanye pilkada kubu ahy pendukung ahok sibuk serang program ahy tidak kampanye program ahok,Kampanye,"[0.2, 0.3, 0.5]"
137,ahy kalah berpidato timnya terdiam menangis melepaskan pilkada dki,Tokoh dan Partai,"[0.1, 0.3, 0.6]"
215,sejujurnya penilaian subyektif terlalu cepat ahy 2019 kalah pilkada bukan modal tapi catatan negatif,Tokoh dan Partai,"[0.1, 0.3, 0.6]"
249,tolak bajingan tengik ahy tukang sogok pemilih bangsat ahy sungguh berbahaya,Tokoh dan Partai,"[0.05, 0.15, 0.8]"
248,tolak ahy berpolitik agama,Tokoh dan Partai,"[0.1, 0.2, 0.7]"
45,astaga pendukung ahy tidak terima hasil surveyharusnya tolak acuan semangat,Tokoh dan Partai,"[0.2, 0.3, 0.5]"
