id,text,aspect_category,sentiment_prob
3,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak kayak apa pasca nyungsep,Agus-Sylvi,"[0.1, 0.6, 0.3]"
4,kasian oh kasian dengan peluru 1milyar untuk tiap rw tidak mempan menangin pilkada,Anies-Sandi,"[0.05, 0.15, 0.8]"
5,maaf ya pendukung hayo dukung diputaran 2,Agus-Sylvi,"[0.1, 0.6, 0.3]"
9,trima kasih atas keistiqomahan relawan lah yg tlh mengantarkan dg cukup signifikan,Anies-Sandi,"[0.9, 0.1, 0.0]"
10,mengenang pidato kekalahan,Agus-Sylvi,"[0.1, 0.7, 0.2]"
17,kalau pencatutan nama dan mpo melanggar hukum ga ya wkwkwkwkkwkk,Agus-Sylvi,"[0.05, 0.15, 0.8]"
18,ya pastilah kan ga suka ama ahok jd pas udah kalah otomatis dukungannya lari ke mas aniessandi,Ahok-Djarot,"[0.05, 0.15, 0.8]"
19,dia lah banteng dia lah garuda ksatria seperti bpk gentle spt jadi cinta sama,Ahok-Djarot,"[0.95, 0.05, 0.0]"
34,Tweet: tuduhan terhadap yg kerap dilontarkan anak ingusan dan cuma mayor sekarang tak terdengar lagi dudah berubah menjadi sanjungan,Agus-Sylvi,"[0.2, 0.7, 0.1]"
37,ahoker masih bully,Ahok-Djarot,"[0.05, 0.15, 0.8]"
38,sayang mayor termasuk yang dikader untuk pemimpin masa depan dari sma taruna beliau selalu yang teratas lagi2 itu pilihan,Agus-Sylvi,"[0.7, 0.2, 0.1]"
39,setuju bangett banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan,Ahok-Djarot,"[0.75, 0.15, 0.1]"
40,pakai sedotan atau sodetan versi,Ahok-Djarot,"[0.1, 0.8, 0.1]"
43,secara kesatria dan lapang dada ternyata hoax yang ada hanya kalah ya sudah masih menang banyak ulama bayaran,Ahok-Djarot,"[0.05, 0.15, 0.8]"
44,agus tersingkir ahok anies rebutan suara ahy untuk kepentingan kelompok lewat,Agus-Sylvi,"[0.1, 0.7, 0.2]"
61,antasari konferensi pers sby sby konferensi pers sby seperti rengekan anak kecil,Agus-Sylvi,"[0.0, 0.1, 0.9]"
65,amieeennnnn dan tidak lupa dengan janji2 manis saat kampanye sang mayor sejati,Agus-Sylvi,"[0.1, 0.3, 0.6]"
66,pada pilkada dki ahy dan sby jadi target hoax dan fitnah yang dilakukan akunakun pendukung ahok,Agus-Sylvi,"[0.0, 0.2, 0.8]"
67,ahy masih mentah tapi mau dikarbit demokrat melihat pilkada dki mereka tahu bahwa kemenangan pemilu cukup memakai sentimen sara saja,Agus-Sylvi,"[0.0, 0.05, 0.95]"
68,akibat pernyataan antasari suara ahy melorot pada pilkada dki,Agus-Sylvi,"[0.0, 0.1, 0.9]"
69,enam bulan kampanye pilkada di kubu ahy pendukung ahok sibuk serang program ahy tidak pernah mereka kampanye program ahok sendiri,Agus-Sylvi,"[0.0, 0.3, 0.7]"
70,13 namun apa yang dicontohkan ahy dan pendukungnya tak terjadi paska putaran kedua pilkada dki jakarta perentangan menjadi semakin tajam,Agus-Sylvi,"[0.0, 0.3, 0.7]"
71,ahy dan tim berjalan menjauh dari hiruk pikuk pilkada melanjutkan perjalanan panjang politik mereka dengan rasa kecewa,Agus-Sylvi,"[0.0, 0.1, 0.9]"
72,ketika ahy kalah berpidato semua timnya terdiam menangis lalu setelah itu mereka melepaskan diri dari pilkada dki,Agus-Sylvi,"[0.0, 0.05, 0.95]"
73,sejujurnya penilaian subyektif saya terlalu cepat bila ahy 2019 kalah di pilkada bukan modal tapi catatan negatif,Agus-Sylvi,"[0.0, 0.1, 0.9]"
74,tolak bajingan tengik ahy tukang sogok pemilih ini bangsat ahy ini sungguh berbahaya,Agus-Sylvi,"[0.0, 0.01, 0.99]"
75,tolak ahy yang berpolitik membawa agama,Agus-Sylvi,"[0.0, 0.1, 0.9]"
76,astaga ini pendukung ahy tidak terima sekali dengan hasil surveyharusnya jadi tolak acuan untuk lebih semangat,Agus-Sylvi,"[0.0, 0.3, 0.7]"
77,sahsah aja justru itu menjadi tolak ukur kedewasaan warga dki kalo ahy menang artinya pola pikir warga masih primitif,Agus-Sylvi,"[0.0, 0.05, 0.95]"
78,suara warga cuma dihargai sembako tolak ahy sudah melakukan penyuapan kepada warga,Agus-Sylvi,"[0.0, 0.01, 0.99]"
79,sejak ahy tidak ikut pilkada lagi sudah tidak asyik ya,Agus-Sylvi,"[0.7, 0.3, 0.0]"
80,tinggal seleksi tendemnya di pilkada dki ahy kalah karena tendemnya salah pilih malah mengurangi kualitas ahy,Agus-Sylvi,"[0.0, 0.1, 0.9]"
81,ternyata segelintir pendukung ahy merasa ditikung di saat terakhir karena adanya tweet dari akun resmi parpol pendukung aniessandi,Agus-Sylvi,"[0.0, 0.3, 0.7]"
82,ahy menanggung akibat cuitan ayahnya yang tak produktif,Agus-Sylvi,"[0.0, 0.1, 0.9]"
