id,text,aspect_category,sentiment_prob
1,Banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh,Agus-Sylvi,"[0.1, 0.8, 0.1]"
2,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk,Agus-Sylvi,"[0.0, 0.1, 0.9]"
3,Kalau aku sih gak nunggu hasil akhir QC tp lagi nunggu motif cuitan pak @SBYudhoyono kayak apa.. pasca #AgusSilvy Nyungsep..,Agus-Sylvi,"[0.0, 0.1, 0.9]"
4,Kasian oh kasian dengan peluru 1milyar untuk tiap RW #agussilvy tidak mempan menangin pilkada #QuickCount #PilkadaSerentak2017,Agus-Sylvi,"[0.0, 0.1, 0.9]"
5,Maaf ya pendukung #AgusSilvy..hayo dukung #AniesSandi diputaran 2 @ronavioleta @NetizenTofa,Agus-Sylvi,"[0.1, 0.8, 0.1]"
6,aneh deh lebay masa ini di sangkut pautkan sama kandidat Calgub anda lebay seperti yg anda dukung #agussilvy,Agus-Sylvi,"[0.0, 0.1, 0.9]"
7,Kepada Allah SWT kami ucapkan rasa syukur dan kepada pak @SBYudhoyono @presidenSBY #AHY kami sampaikan terimakasih. Makna 17% suara anda.,Agus-Sylvi,"[0.2, 0.6, 0.2]"
8,Terima Kasih teruntuk pendukung #AHY #SYLVI kalianlah pembeda kali ini,Agus-Sylvi,"[0.8, 0.2, 0.0]"
9,Trima Kasih atas KeIstiqomahan Relawan #AHY @AgusYudhoyono lah yg tlh mengantarkan #AniesSandiDKI1 #JakartaGubernurBaru dg cukup signifikan,Agus-Sylvi,"[0.8, 0.2, 0.0]"
10,Mengenang pidato kekalahan #ahy,Agus-Sylvi,"[0.0, 0.1, 0.9]"
11,dammnn !! politik cantik #SBY ngorbanin #AHY,Agus-Sylvi,"[0.0, 0.2, 0.8]"
12,Batal nyoblos baru tau ternyata ga ada no.1 di kertas suara. #AHY #kangen #mosing,Agus-Sylvi,"[0.2, 0.6, 0.2]"
13,sudah boleh Ngakak? survey mu jauh panggang dari api ! #Ahy,Agus-Sylvi,"[0.0, 0.1, 0.9]"
14,aku juga kemarin #AHY 19april2017 suaraku utk paslon 3 #DKI,Agus-Sylvi,"[0.1, 0.8, 0.1]"
15,Karna yang belebihan itu tidak baik ya bah #AHY,Agus-Sylvi,"[0.0, 0.2, 0.8]"
