id,text,aspect_category,sentiment_prob
120,kalo sudah kuliah mah kampus merdeka kalo adekku mah b haha,Umum,"[0.1, 0.8, 0.1]"
181,kerja mendukung program merdeka belajar kampus merdeka mbkm membuka peluang inovasi pendidikan cerah,Umum,"[0.9, 0.1, 0.0]"
286,(tertawa) ptk naro logo kampus merdeka ignya tapi mahasiswanya tidak merdeka,Umum,"[0.05, 0.15, 0.8]"
76,halah kampus merdeka apanya,Umum,"[0.0, 0.1, 0.9]"
176,kayanya tiada bentakan dan blaming karyawan gue atau teman gue i assume they just dont know what they did is wrong cos maybe have normalized gue bertahan iyee magangnya magang kampus merdeka,Umum,"[0.1, 0.2, 0.7]"
34,benar banget malahan kuliah tuh takut hilang program kampus merdeka menguntungkan mahasiswa tapi sayang sekalai sekolah sdsma,Umum,"[0.7, 0.2, 0.1]"
110,kadang mikir kalo kuliah organisasi tidak seaktif tidak ulah nadiem doang kampus merdeka tapi memang dipengaruhi kebutuhan tenaga kerja pandangannya organisasi mending magang,Kebijakan Menteri,"[0.1, 0.4, 0.5]"
270,tapi sejujurnya menurutku bagus kurikulumnya kalo perkuliahan bagusnya merdeka kampus belajar,Umum,"[0.9, 0.1, 0.0]"
21,apaan bagus perguruan negeri gara-gara kebijakan kampus ngebebanin mhs s2 harus ikut-ikutan bikin jurnal publikasi menuhin quota kampus mhs manfaatin kurikulum merdeka ngeclaim sks padahal tidak mengerti apa-apa pas tes,Umum,"[0.0, 0.05, 0.95]"
239,program baik kampus merdeka kayak msib iisma pmm program keuntungan dan pengalaman bermanfaat mahasiswa,Umum,"[0.95, 0.05, 0.0]"
14,suka pas kampus merdeka sistemnya agak hancur melihat msib pengunduran schedule miss,Umum,"[0.05, 0.15, 0.8]"
292,bagusnya kampus merdeka mahasiswa,Umum,"[0.9, 0.1, 0.0]"
212,namanya proses anjir lagian proramnya bagus kayak kampus merdeka,Umum,"[0.8, 0.2, 0.0]"
30,program bagus kampus merdeka,Umum,"[0.95, 0.05, 0.0]"
264,tapi pendidikan kurikulum merdeka bagus banget apalagi programprogramnya kesempatan berkembang diluar kampus,Umum,"[0.95, 0.05, 0.0]"
177,kayanya kebijakan bagusnya kuliah deh kayak kampus merdeka susah banget cari magang memasukkan proposal tapi sudah terintegrasi sistem kuliah,Umum,"[0.85, 0.15, 0.0]"
174,sih bagian kampus merdeka termasuk oke belum merasai 2021 covid dan sudah dalam perjalanan sidang (tertawa),Umum,"[0.8, 0.2, 0.0]"
223,penasaran sudah bukan mahasiswa tidak kebagian icip si kampus merdeka,Umum,"[0.7, 0.3, 0.0]"
218,one of gue gasuka program kampus merdeka program wirausaha merdeka kayak,Umum,"[0.0, 0.1, 0.9]"
162,kampus merdeka untung untung mahasiswanya oke2 dan senang pandemi muncul tuh program mayanlah kedapetan enak,Umum,"[0.85, 0.15, 0.0]"
